admin_level,id,name,Number of open links,Bigraph built in,Bigraph loaded in,Number of nodes,Number of edges,Number of boundaries,Number of streets,Number of buildings,Number of junctions,Added agent in,leave_building,move_across_linked_streets,enter_building starting in street,enter_building_from_street,leave_street,enter_building_from_boundary,enter_building starting in boundary,enter_street,Maximum resident set size (kbytes),Number of outer names
6,51800,City of London,3;580;,0.713443,,4193,2089,2,431,1077,1173,,,,,,,,,,54704,93
6,1920901,City of Edinburgh,153;150;229;68;269;74;100;92;110;94;143;565;194;116;113;363;115;286;240;198;55;128;102;171;178;162;143;196;226;193;3429;,17.746494,,48146,23286,31,6138,9268,17272,,,,,,,,,,735852,57
9,30353,Wandsbek,65;171;161;187;110;328;285;574;243;173;88;338;281;107;84;70;187;254;80;418;,25.445872,,149385,74302,20,2582,68076,8029,,,,,,,,,,4812140,113
8,7444,Paris,40;35;34;57;65;204;230;111;140;202;32;39;53;43;96;73;79;80;102;141;149;126;114;105;172;272;263;124;123;229;101;290;298;68;195;137;83;191;246;183;81;91;99;45;117;43;20;94;117;121;115;245;180;236;211;221;126;230;89;212;96;79;149;94;119;257;184;347;208;234;193;196;287;242;266;479;378;256;203;220;60;105;179;106;164;101;145;187;39;16;43;52;70;26;53;47;55;75;12;34;1320;,19.396157,,56622,24667,101,9071,4752,28774,,,,,,,,,,1110900,324
8,1544956,Mountain View,1700;,4.130556,,20224,10077,1,1027,7350,3468,,,,,,,,,,184788,108
10,271110,Amsterdam,10631;,128.258534,,41306,20189,1,5082,4476,22188,,,,,,,,,,776928,152
5,10264792,Hong Kong Island,759;478;580;706;97;,5.218122,,21676,10647,5,1621,6555,5314,,,,,,,,,,231628,6
8,71033,Strasbourg,399;100;354;167;169;275;238;123;151;140;388;311;155;244;462;346;,3.294024,,15819,7327,16,2641,1141,8223,,,,,,,,,,143440,77
8,8450265,London Borough of Southwark,2931;,12.410300,,42145,21031,1,2038,16062,5943,,,,,,,,,,471852,193
8,51805,London Borough of Tower Hamlets,2469;,9.416040,,32888,16367,1,1885,12013,5090,,,,,,,,,,342216,92
8,51781,City of Westminster,110;2750;,13.880561,,57179,28460,2,1809,23816,5925,,,,,,,,,,721216,183
