admin_level,id,name,Number of open links,Bigraph built in,Bigraph loaded in,Number of nodes,Number of edges,Number of boundaries,Number of streets,Number of buildings,Number of junctions,Added agent in,leave_building,move_across_linked_streets,enter_building starting in street,enter_building_from_street,leave_street,enter_building_from_boundary,enter_building starting in boundary,enter_street,Maximum resident set size (kbytes),Number of outer names
2,536780,Singapore,,,0.842299,212140,104497,13,11917,70981,46318,,,,,,,,,,431016,4
4,162069,District of Columbia,,,1.075388,267244,132694,10,4160,118037,22830,,,,,,,,,,551336,262
4,62422,Berlin,,,1.177189,277289,135449,115,15213,96373,53887,,,,,,,,,,562776,208
8,51781,City of Westminster,,,0.230192,57179,28460,2,1809,23816,5925,,,,,,,,,,132580,183
8,295353,South Cambridgeshire,,,0.319913,75961,37326,105,4663,27711,11003,,,,,,,,,,166116,178
6,1906767,Glasgow City,,,0.293241,70524,34790,1,7427,15678,24312,,,,,,,,,,156080,194
9,55734,Steglitz-Zehlendorf,,,0.297314,74559,36943,12,1829,32366,6145,,,,,,,,,,165504,102
8,118362,Leeds,,,0.659667,161213,79732,39,13715,47115,39475,,,,,,,,,,330740,132
6,51800,City of London,,,0.016553,4193,2089,2,431,1077,1173,,,,,,,,,,36488,93
8,172987,Liverpool,,,0.201151,50577,24816,1,6879,7769,21279,,,,,,,,,,118144,122
8,8450265,London Borough of Southwark,,,0.167639,42145,21031,1,2038,16062,5943,,,,,,,,,,104840,193
8,2305280,Oceanside,,,0.306113,78005,38904,1,2709,32250,8085,,,,,,,,,,172396,86
6,1920901,City of Edinburgh,,,0.189356,48146,23286,31,6138,9268,17272,,,,,,,,,,113868,57
8,111848,Chula Vista,,,0.301544,77630,38686,1,3186,30541,10174,,,,,,,,,,172112,129
9,30353,Wandsbek,,,0.597984,149385,74302,20,2582,68076,8029,,,,,,,,,,312352,113
8,295355,Cambridge,,,0.271569,62838,31355,1,1612,27868,3876,,,,,,,,,,143536,73
8,7444,Paris,,,0.216051,56622,24667,101,9071,4752,28774,,,,,,,,,,127148,324
8,51805,London Borough of Tower Hamlets,,,0.128614,32888,16367,1,1885,12013,5090,,,,,,,,,,86428,92
6,62428,Munich,,,0.672382,164233,78594,142,10378,54375,34443,,,,,,,,,,335796,140
10,2604777,Dover,,,0.008895,2184,1069,1,391,158,1084,,,,,,,,,,33624,25
8,1544956,Mountain View,,,0.078615,20224,10077,1,1027,7350,3468,,,,,,,,,,63916,108
10,271110,Amsterdam,,,0.163853,41306,20189,1,5082,4476,22188,,,,,,,,,,100460,152
8,295349,Fenland,,,0.051870,13480,6530,17,2283,1688,5504,,,,,,,,,,52036,64
6,180837,Cambridgeshire,,,0.867616,210768,103274,242,16190,69754,38396,,,,,,,,,,431532,225
8,295351,Huntingdonshire,,,0.142800,37597,18234,82,4899,7931,11773,,,,,,,,,,94704,102
8,2305279,Carlsbad,,,0.238281,60972,30425,1,2407,24657,6842,,,,,,,,,,139672,63
8,146656,Manchester,,,0.384288,96802,48052,2,7140,30599,21320,,,,,,,,,,207528,235
8,295352,East Cambridgeshire,,,0.074258,19619,9566,36,2383,4556,5669,,,,,,,,,,62600,85
5,10264792,Hong Kong Island,,,0.083397,21676,10647,5,1621,6555,5314,,,,,,,,,,66592,6
8,71033,Strasbourg,,,0.061026,15819,7327,16,2641,1141,8223,,,,,,,,,,56120,77
2,536780,Singapore,,,0.850155,212140,104497,13,11917,70981,46318,,,,,,,,,,430996,4
4,162069,District of Columbia,,,1.076703,267244,132694,10,4160,118037,22830,,,,,,,,,,551152,262
4,62422,Berlin,,,1.136713,277289,135449,115,15213,96373,53887,,,,,,,,,,562784,208
8,51781,City of Westminster,,,0.219323,57179,28460,2,1809,23816,5925,,,,,,,,,,132544,183
8,295353,South Cambridgeshire,,,0.300517,75961,37326,105,4663,27711,11003,,,,,,,,,,166116,178
6,1906767,Glasgow City,,,0.288449,70524,34790,1,7427,15678,24312,,,,,,,,,,156024,194
9,55734,Steglitz-Zehlendorf,,,0.289181,74559,36943,12,1829,32366,6145,,,,,,,,,,165440,102
8,118362,Leeds,,,0.629193,161213,79732,39,13715,47115,39475,,,,,,,,,,330736,132
6,51800,City of London,,,0.018068,4193,2089,2,431,1077,1173,,,,,,,,,,36636,93
8,172987,Liverpool,,,0.193750,50577,24816,1,6879,7769,21279,,,,,,,,,,118132,122
8,8450265,London Borough of Southwark,,,0.166309,42145,21031,1,2038,16062,5943,,,,,,,,,,104692,193
8,2305280,Oceanside,,,0.300314,78005,38904,1,2709,32250,8085,,,,,,,,,,172412,86
6,1920901,City of Edinburgh,,,0.191132,48146,23286,31,6138,9268,17272,,,,,,,,,,113740,57
8,111848,Chula Vista,,,0.302414,77630,38686,1,3186,30541,10174,,,,,,,,,,172284,129
9,30353,Wandsbek,,,0.615975,149385,74302,20,2582,68076,8029,,,,,,,,,,312688,113
8,295355,Cambridge,,,0.245640,62838,31355,1,1612,27868,3876,,,,,,,,,,143820,73
8,7444,Paris,,,0.216695,56622,24667,101,9071,4752,28774,,,,,,,,,,126996,324
8,51805,London Borough of Tower Hamlets,,,0.136765,32888,16367,1,1885,12013,5090,,,,,,,,,,86548,92
6,62428,Munich,,,0.642156,164233,78594,142,10378,54375,34443,,,,,,,,,,335872,140
10,2604777,Dover,,,0.009610,2184,1069,1,391,158,1084,,,,,,,,,,33416,25
8,1544956,Mountain View,,,0.082751,20224,10077,1,1027,7350,3468,,,,,,,,,,64116,108
10,271110,Amsterdam,,,0.157114,41306,20189,1,5082,4476,22188,,,,,,,,,,100480,152
8,295349,Fenland,,,0.051490,13480,6530,17,2283,1688,5504,,,,,,,,,,52064,64
6,180837,Cambridgeshire,,,0.849882,210768,103274,242,16190,69754,38396,,,,,,,,,,431708,225
8,295351,Huntingdonshire,,,0.143445,37597,18234,82,4899,7931,11773,,,,,,,,,,94764,102
8,2305279,Carlsbad,,,0.237652,60972,30425,1,2407,24657,6842,,,,,,,,,,139656,63
8,146656,Manchester,,,0.397834,96802,48052,2,7140,30599,21320,,,,,,,,,,207764,235
8,295352,East Cambridgeshire,,,0.078734,19619,9566,36,2383,4556,5669,,,,,,,,,,62452,85
5,10264792,Hong Kong Island,,,0.093477,21676,10647,5,1621,6555,5314,,,,,,,,,,66604,6
8,71033,Strasbourg,,,0.067901,15819,7327,16,2641,1141,8223,,,,,,,,,,56164,77
2,536780,Singapore,,,1.021242,212140,104497,13,11917,70981,46318,,,,,,,,,,431032,4
4,162069,District of Columbia,,,1.075924,267244,132694,10,4160,118037,22830,,,,,,,,,,551240,262
4,62422,Berlin,,,1.216655,277289,135449,115,15213,96373,53887,,,,,,,,,,562704,208
8,51781,City of Westminster,,,0.250869,57179,28460,2,1809,23816,5925,,,,,,,,,,132716,183
8,295353,South Cambridgeshire,,,0.309177,75961,37326,105,4663,27711,11003,,,,,,,,,,165848,178
6,1906767,Glasgow City,,,0.290100,70524,34790,1,7427,15678,24312,,,,,,,,,,156116,194
9,55734,Steglitz-Zehlendorf,,,0.309679,74559,36943,12,1829,32366,6145,,,,,,,,,,165348,102
8,118362,Leeds,,,0.662834,161213,79732,39,13715,47115,39475,,,,,,,,,,330640,132
6,51800,City of London,,,0.015507,4193,2089,2,431,1077,1173,,,,,,,,,,36792,93
8,172987,Liverpool,,,0.193160,50577,24816,1,6879,7769,21279,,,,,,,,,,118240,122
8,8450265,London Borough of Southwark,,,0.170970,42145,21031,1,2038,16062,5943,,,,,,,,,,104952,193
8,2305280,Oceanside,,,0.304702,78005,38904,1,2709,32250,8085,,,,,,,,,,172508,86
6,1920901,City of Edinburgh,,,0.222702,48146,23286,31,6138,9268,17272,,,,,,,,,,113936,57
8,111848,Chula Vista,,,0.588585,77630,38686,1,3186,30541,10174,,,,,,,,,,172344,129
9,30353,Wandsbek,,,0.832236,149385,74302,20,2582,68076,8029,,,,,,,,,,312596,113
8,295355,Cambridge,,,0.266701,62838,31355,1,1612,27868,3876,,,,,,,,,,143704,73
8,7444,Paris,,,0.225773,56622,24667,101,9071,4752,28774,,,,,,,,,,126980,324
8,51805,London Borough of Tower Hamlets,,,0.140978,32888,16367,1,1885,12013,5090,,,,,,,,,,86480,92
6,62428,Munich,,,0.687856,164233,78594,142,10378,54375,34443,,,,,,,,,,335592,140
10,2604777,Dover,,,0.008944,2184,1069,1,391,158,1084,,,,,,,,,,33616,25
8,1544956,Mountain View,,,0.080425,20224,10077,1,1027,7350,3468,,,,,,,,,,64052,108
10,271110,Amsterdam,,,0.162667,41306,20189,1,5082,4476,22188,,,,,,,,,,100428,152
8,295349,Fenland,,,0.054887,13480,6530,17,2283,1688,5504,,,,,,,,,,52044,64
6,180837,Cambridgeshire,,,0.970067,210768,103274,242,16190,69754,38396,,,,,,,,,,431392,225
8,295351,Huntingdonshire,,,0.159082,37597,18234,82,4899,7931,11773,,,,,,,,,,94812,102
8,2305279,Carlsbad,,,0.237292,60972,30425,1,2407,24657,6842,,,,,,,,,,139644,63
8,146656,Manchester,,,0.387906,96802,48052,2,7140,30599,21320,,,,,,,,,,207876,235
8,295352,East Cambridgeshire,,,0.072903,19619,9566,36,2383,4556,5669,,,,,,,,,,62492,85
5,10264792,Hong Kong Island,,,0.088424,21676,10647,5,1621,6555,5314,,,,,,,,,,66468,6
8,71033,Strasbourg,,,0.063897,15819,7327,16,2641,1141,8223,,,,,,,,,,56120,77
2,536780,Singapore,,,0.840089,212140,104497,13,11917,70981,46318,,,,,,,,,,431076,4
4,162069,District of Columbia,,,1.116160,267244,132694,10,4160,118037,22830,,,,,,,,,,551308,262
4,62422,Berlin,,,1.132328,277289,135449,115,15213,96373,53887,,,,,,,,,,562840,208
8,51781,City of Westminster,,,0.233330,57179,28460,2,1809,23816,5925,,,,,,,,,,132588,183
8,295353,South Cambridgeshire,,,0.293985,75961,37326,105,4663,27711,11003,,,,,,,,,,165904,178
6,1906767,Glasgow City,,,0.277060,70524,34790,1,7427,15678,24312,,,,,,,,,,156036,194
9,55734,Steglitz-Zehlendorf,,,0.292685,74559,36943,12,1829,32366,6145,,,,,,,,,,165196,102
8,118362,Leeds,,,0.642956,161213,79732,39,13715,47115,39475,,,,,,,,,,330748,132
6,51800,City of London,,,0.017086,4193,2089,2,431,1077,1173,,,,,,,,,,36568,93
8,172987,Liverpool,,,0.196145,50577,24816,1,6879,7769,21279,,,,,,,,,,118352,122
8,8450265,London Borough of Southwark,,,0.164643,42145,21031,1,2038,16062,5943,,,,,,,,,,104652,193
8,2305280,Oceanside,,,0.302758,78005,38904,1,2709,32250,8085,,,,,,,,,,172488,86
6,1920901,City of Edinburgh,,,0.194365,48146,23286,31,6138,9268,17272,,,,,,,,,,113768,57
8,111848,Chula Vista,,,0.309924,77630,38686,1,3186,30541,10174,,,,,,,,,,172268,129
9,30353,Wandsbek,,,0.618611,149385,74302,20,2582,68076,8029,,,,,,,,,,312388,113
8,295355,Cambridge,,,0.268248,62838,31355,1,1612,27868,3876,,,,,,,,,,143624,73
8,7444,Paris,,,0.238857,56622,24667,101,9071,4752,28774,,,,,,,,,,127100,324
8,51805,London Borough of Tower Hamlets,,,0.135473,32888,16367,1,1885,12013,5090,,,,,,,,,,86340,92
6,62428,Munich,,,0.714259,164233,78594,142,10378,54375,34443,,,,,,,,,,335716,140
10,2604777,Dover,,,0.011249,2184,1069,1,391,158,1084,,,,,,,,,,33348,25
8,1544956,Mountain View,,,0.099494,20224,10077,1,1027,7350,3468,,,,,,,,,,64068,108
10,271110,Amsterdam,,,0.204144,41306,20189,1,5082,4476,22188,,,,,,,,,,100464,152
8,295349,Fenland,,,0.060228,13480,6530,17,2283,1688,5504,,,,,,,,,,51904,64
6,180837,Cambridgeshire,,,0.946656,210768,103274,242,16190,69754,38396,,,,,,,,,,431640,225
8,295351,Huntingdonshire,,,0.162948,37597,18234,82,4899,7931,11773,,,,,,,,,,94772,102
8,2305279,Carlsbad,,,0.258473,60972,30425,1,2407,24657,6842,,,,,,,,,,139672,63
8,146656,Manchester,,,0.392291,96802,48052,2,7140,30599,21320,,,,,,,,,,207652,235
8,295352,East Cambridgeshire,,,0.074175,19619,9566,36,2383,4556,5669,,,,,,,,,,62228,85
5,10264792,Hong Kong Island,,,0.084823,21676,10647,5,1621,6555,5314,,,,,,,,,,66660,6
8,71033,Strasbourg,,,0.062918,15819,7327,16,2641,1141,8223,,,,,,,,,,56204,77
2,536780,Singapore,,,0.889183,212140,104497,13,11917,70981,46318,,,,,,,,,,430936,4
4,162069,District of Columbia,,,1.101975,267244,132694,10,4160,118037,22830,,,,,,,,,,551264,262
4,62422,Berlin,,,1.170356,277289,135449,115,15213,96373,53887,,,,,,,,,,562588,208
8,51781,City of Westminster,,,0.243603,57179,28460,2,1809,23816,5925,,,,,,,,,,132604,183
8,295353,South Cambridgeshire,,,0.312978,75961,37326,105,4663,27711,11003,,,,,,,,,,165708,178
6,1906767,Glasgow City,,,0.318714,70524,34790,1,7427,15678,24312,,,,,,,,,,156096,194
9,55734,Steglitz-Zehlendorf,,,0.345230,74559,36943,12,1829,32366,6145,,,,,,,,,,165172,102
8,118362,Leeds,,,0.658748,161213,79732,39,13715,47115,39475,,,,,,,,,,330632,132
6,51800,City of London,,,0.019878,4193,2089,2,431,1077,1173,,,,,,,,,,36616,93
8,172987,Liverpool,,,0.213977,50577,24816,1,6879,7769,21279,,,,,,,,,,118280,122
8,8450265,London Borough of Southwark,,,0.177262,42145,21031,1,2038,16062,5943,,,,,,,,,,104940,193
8,2305280,Oceanside,,,0.302119,78005,38904,1,2709,32250,8085,,,,,,,,,,172820,86
6,1920901,City of Edinburgh,,,0.211955,48146,23286,31,6138,9268,17272,,,,,,,,,,114004,57
8,111848,Chula Vista,,,0.318046,77630,38686,1,3186,30541,10174,,,,,,,,,,172388,129
9,30353,Wandsbek,,,0.617884,149385,74302,20,2582,68076,8029,,,,,,,,,,312632,113
8,295355,Cambridge,,,0.255378,62838,31355,1,1612,27868,3876,,,,,,,,,,143692,73
8,7444,Paris,,,0.231549,56622,24667,101,9071,4752,28774,,,,,,,,,,126964,324
8,51805,London Borough of Tower Hamlets,,,0.132977,32888,16367,1,1885,12013,5090,,,,,,,,,,86428,92
6,62428,Munich,,,0.657334,164233,78594,142,10378,54375,34443,,,,,,,,,,335844,140
10,2604777,Dover,,,0.009568,2184,1069,1,391,158,1084,,,,,,,,,,33556,25
8,1544956,Mountain View,,,0.078187,20224,10077,1,1027,7350,3468,,,,,,,,,,64016,108
10,271110,Amsterdam,,,0.167518,41306,20189,1,5082,4476,22188,,,,,,,,,,100468,152
8,295349,Fenland,,,0.048710,13480,6530,17,2283,1688,5504,,,,,,,,,,52172,64
6,180837,Cambridgeshire,,,0.898027,210768,103274,242,16190,69754,38396,,,,,,,,,,431540,225
8,295351,Huntingdonshire,,,0.158633,37597,18234,82,4899,7931,11773,,,,,,,,,,94636,102
8,2305279,Carlsbad,,,0.235288,60972,30425,1,2407,24657,6842,,,,,,,,,,139748,63
8,146656,Manchester,,,0.393038,96802,48052,2,7140,30599,21320,,,,,,,,,,207776,235
8,295352,East Cambridgeshire,,,0.078538,19619,9566,36,2383,4556,5669,,,,,,,,,,62504,85
